뉴스 식별자,일자,언론사,기고자,title_kor,통합 분류1,통합 분류2,통합 분류3,사건/사고 분류1,사건/사고 분류2,사건/사고 분류3,인물,위치,기관,keys_kor,특성추출(가중치순 상위 50개),summary,URL,분석제외 여부
08100401.20151003111636003,20151003,YTN,,"여진구 시구, 본인도 깜짝 놀란 '완벽 제구'",문화>방송_연예,,,,,,여진구,"제구,서부전선,경기","넥센,YTN,목동종합운동장,롯데 자이언츠,롯데","여진구,시구,본인,완벽,제구,배우,여진구,시구,여진구,야구장,목동종합운동장,롯데,자이언츠,넥센,히어로즈,경기,시구자,초대,넥센,유니폼,마운드,여진구,관중석,인사,여유,모습,완벽,투구폼,정확,감탄,여진구,자신,인스타그램,긴장,넥센,화이팅,롯데,서부전선,인증샷,소감글,개봉,지난달,영화,서부,전선,설경구,호흡,YTN,PLUS,press,ytnplus.co.kr,사진출처,여진구,인스타그램","여진구,넥센,롯데,시구자,인스타그램,목동종합운동장,서부전선,press,설경구,인증샷,투구폼,소감글,인스타,사진출처,관중석,히어로즈,야구장,plus,ytn,완벽,전선,서부,영화,호흡,여유,인증,인사,그램,정확,모습,개봉,본인,제구,경기,긴장,감탄,시구","배우 여진구가 시구에 나섰다. 여진구는 2일 목동종합운동장 야구장에서 열린 롯데 자이언츠와 넥센 히어로즈 경기 시구자로 초대돼 넥센의 유니폼을 입고 마운드에 올랐다. 여진구는 관중석을 향해 깍듯하게 인사를 하고 손을 흔들며 여유로운 모습을 보였다. 이어 완벽한 투구폼으로 정확하고 빠른 공을 던져 감탄을 자아냈다. 여진구는 자신의 인스타그램에 ""긴장..설..",http://www.ytn.co.kr/_sn/0117_201510031115013839,
08100401.20151003111501001,20151003,YTN,최영아,"여진구 시구, 본인도 깜짝 놀란 '완벽 제구'",문화>방송_연예, 스포츠>야구>한국프로야구, 스포츠>야구,,,,여진구,"제구,서부전선,경기","넥센,YTN,목동종합운동장,롯데 자이언츠,롯데","여진구,시구,본인,완벽,제구,배우,여진구,시구,여진구,야구장,목동종합운동장,롯데,자이언츠,넥센,히어로즈,경기,시구자,초대,넥센,유니폼,마운드,여진구,관중석,인사,여유,모습,완벽,투구폼,정확,감탄,여진구,자신,인스타그램,긴장,넥센,화이팅,롯데,서부전선,인증샷,소감글,개봉,지난달,영화,서부,전선,설경구,호흡,YTN,PLUS,press,ytnplus.co.kr,사진출처,여진구,인스타그램","여진구,넥센,롯데,시구자,인스타그램,목동종합운동장,서부전선,press,설경구,인증샷,투구폼,소감글,인스타,사진출처,관중석,히어로즈,야구장,plus,ytn,완벽,전선,서부,영화,호흡,여유,인증,인사,그램,정확,모습,개봉,본인,제구,경기,긴장,감탄,시구","배우 여진구가 시구에 나섰다.

여진구는 2일 목동종합운동장 야구장에서 열린 롯데 자이언츠와 넥센 히어로즈 경기 시구자로 초대돼 넥센의 유니폼을 입고 마운드에 올랐다.

여진구는 관중석을 향해 깍듯하게 인사를 하고 손을 흔들며 여유로운 모습을 보였다. 이어 완벽한 투구폼으로 정확하고 빠른 공을 던져 감탄을 자아냈다.

여진구는 자신의 인스타그램에 ""긴장..",https://star.ytn.co.kr/_sn/0117_201510031115013839,
10100101.20151003172804001,20151003,스포츠서울,김도훈,"[SS포토] 넥센 히어로즈, 윈 더 챔피언쉽! 히어로즈!",스포츠>스포츠일반,,,,,,,"목동 구장,경기","삼성 라이온즈,히어로즈","넥센,히어로즈,챔피언쉽,히어로즈,선수들,넥센,히어로즈,선수,구장,목동,진행,삼성,라이온즈,경기,시즌,마지막,경기,마무리,플래카드,홈팬들,인사,2015.10","히어로즈,목동,홈팬들,플래카드,삼성,넥센,선수들,라이온즈,경기,마지막,인사,진행,마무리,구장,선수,시즌,챔피언쉽",[스포츠서울 김도훈기자] 넥센 히어로즈 선수들이 3일 목동 구장에서 진행된 삼성 라이온즈와의 경기에서 시즌 마지막 홈 경기를 마무리하는 플래카드를 펼치며 홈팬들에게 인사를 하고 있다. 2015.10.03. dica@sportsseoul.com,,
10100101.20151003170753006,20151003,스포츠서울,김도훈,"[SS포토] 삼성 라이온즈, 넥센이 준비한 '챔피언' 플래카드 위로...",스포츠>야구>한국프로야구,,,,,,,"목동 구장,경기","삼성 라이온즈,히어로즈","삼성,라이온즈,넥센,준비,챔피언,플래카드,선수들,삼성,라이온즈,선수,구장,목동,진행,넥센,히어로즈,경기,승리,하이파이브,자축,히어로즈,이날,넥센,정규,시즌,마지막,경기,챔피언쉽,플래카드,삼성,선수,분위기,2015.10","넥센,플래카드,삼성,라이온즈,목동,히어로즈,파이브,선수들,경기,선수,이날,정규,하이,하이파이브,자축,분위기,승리,시즌,마지막,구장,챔피언,준비,진행,챔피언쉽",[스포츠서울 김도훈기자] 삼성 라이온즈 선수들이 3일 목동 구장에서 진행된 넥센 히어로즈와의 경기에서 1-0으로 승리한 뒤 하이파이브로 자축하고 있다.이날 넥센 히어로즈의 정규 시즌 마지막 경기를 맞아 ‘윈 더 챔피언쉽’이라는 플래카드가 삼성 선수들과 겹치며 묘한 분위기를 자아내고 있다. 2015.10.03. dica@sportsseoul.com,,
10100101.20151003170753002,20151003,스포츠서울,김도훈,"[SS포토] 넥센 히어로즈, 2015 시즌 가을 야구를 착실히...",스포츠>야구>한국프로야구,,,,,,,"목동 구장,경기","삼성 라이온즈,히어로즈","넥센,히어로즈,시즌,가을,야구,선수들,넥센,히어로즈,선수,구장,목동,진행,삼성,라이온즈,경기,시즌,마지막,경기,마무리,플래카드,홈팬들,인사,2015.10","히어로즈,목동,넥센,홈팬들,플래카드,삼성,라이온즈,선수들,경기,시즌,마지막,야구,가을,인사,진행,구장,마무리,선수",[스포츠서울 김도훈기자] 넥센 히어로즈 선수들이 3일 목동 구장에서 진행된 삼성 라이온즈와의 경기에서 0-1로 패한 뒤 시즌 마지막 홈 경기를 마무리하는 플래카드를 펼치며 홈팬들에게 인사를 하고 있다. 2015.10.03. dica@sportsseoul.com,,
10100101.20151003172804002,20151003,스포츠서울,김도훈,"[SS포토] 넥센 히어로즈, 가을 야구 준비하는 목동 구장!",스포츠>스포츠일반, 문화>음악,,,,,,"목동 구장,경기,목동","삼성 라이온즈,히어로즈","넥센,히어로즈,준비,가을,야구,목동,구장,넥센,히어로즈,구장,목동,진행,삼성,라이온즈,시즌,마지막,경기,가을,하늘,목동,구장,2015.10","목동,히어로즈,삼성,라이온즈,넥센,구장,가을,경기,시즌,마지막,야구,진행,준비,하늘","[스포츠서울 김도훈기자] 넥센 히어로즈가 3일 목동 구장에서 진행된 삼성 라이온즈를 맞아 시즌 마지막 홈 경기를 치르는 가운데, 청명한 가을 하늘이 목동 구장 위로 펼쳐지고 있다. 2015.10.03. dica@sportsseoul.com",,
10100101.20151003154715004,20151003,스포츠서울,김도훈,"[SS포토] 넥센 염경엽 감독, 큰일이야! 피가로가 더 강해졌는데...",스포츠>야구>한국프로야구,,,,,,"피가로,염경엽","목동 구장,경기","삼성 라이온즈,히어로즈","감독,넥센,염경엽,큰일,피가로,넥센,히어로즈,염경엽,감독,구장,목동,진행,삼성,라이온즈,경기,삼성,선발,피가로,넥센,타선,득점,찬스,표정,2015.10","삼성,넥센,피가로,염경엽,목동,라이온즈,히어로즈,감독,표정,찬스,득점,경기,타선,구장,진행,큰일,선발",[스포츠서울 김도훈기자] 넥센 히어로즈 염경엽 감독이 3일 목동 구장에서 진행된 삼성 라이온즈와의 경기에서 1-0으로 뒤진 6회 삼성 선발 피가로에 넥센 타선이 틀어막히며 득점 찬스를 잡지 못하자 답답한 표정을 짓고 있다. 2015.10.03. dica@sportsseoul.com,,
10100101.20151003154715002,20151003,스포츠서울,김도훈,"[SS포토] 넥센 배트걸 권안나, 가을볕에 피부 괜찮을까?",스포츠>야구>한국프로야구, 경제>경제일반,,,,,,"목동 구장,경기","삼성 라이온즈,히어로즈","권안나,넥센,배트걸,가을볕,피부,넥센,히어로즈,배트걸,권안나,구장,목동,진행,삼성,라이온즈,경기,거울,얼굴,2015.10","넥센,배트걸,목동,권안나,라이온즈,삼성,가을볕,히어로즈,얼굴,거울,경기,진행,가을,피부,구장",[스포츠서울 김도훈기자] 넥센 히어로즈 배트걸 권안나가 3일 목동 구장에서 진행된 삼성 라이온즈와의 경기에서 거울에 얼굴을 비추어 보며 살피고 있다. 2015.10.03. dica@sportsseoul.com,,
10100101.20151003150653003,20151003,스포츠서울,김도훈,"[SS포토] 넥센 박병호, 내년에는 메이저리그에서 기지개?",스포츠>야구>한국프로야구,,,,,,박병호,"목동 구장,경기","삼성 라이온즈,히어로즈","넥센,박병호,내년,메이저리그,기지개,박병호,넥센,히어로즈,타자,구장,목동,진행,삼성,라이온즈,경기,타석,배트,스트레칭,2015.10","목동,넥센,박병호,히어로즈,스트레칭,라이온즈,삼성,메이저리그,타자,배트,타석,경기,메이저,리그,진행,기지개,내년,구장",[스포츠서울 김도훈기자] 넥센 히어로즈 4번 타자 박병호가 3일 목동 구장에서 진행된 삼성 라이온즈와의 경기에서 타석에 서기 전 배트로 스트레칭을 하고 있다. 2015.10.03. dica@sportsseoul.com,,
10100101.20151003162734001,20151003,스포츠서울,김도훈,"[SS포토] 넥센 염경엽 감독, 정규리그 마지막 홈 경기인데...?",스포츠>스포츠일반,,,,,,염경엽,"목동 구장,경기","삼성 라이온즈,히어로즈","감독,넥센,염경엽,정규,리그,마지막,경기,넥센,히어로즈,염경엽,감독,구장,목동,진행,삼성,라이온즈,경기,상태,9회,고개,아쉬움,2015.10","염경엽,넥센,목동,9회,삼성,라이온즈,히어로즈,경기,마지막,감독,아쉬움,고개,진행,구장,상태,리그,정규",[스포츠서울 김도훈기자] 넥센 히어로즈 염경엽 감독이 3일 목동 구장에서 진행된 삼성 라이온즈와의 경기에서 1-0으로 뒤진 상태로 9회를 맞자 고개를 숙이며 아쉬움을 달래고있다. 2015.10.03. dica@sportsseoul.com,,
